IVV,Documented cytotoxins,Healthy/ opportunistic/ nosocomial,Common Name,Common/ rare/ emerging,Species,Reservoir,Location,Documented immune evasion,Documented adhesins/ adherence,Strain Name,Foe,Gram stain,coccus_shape,Strain ID,rod_shape,Genus,Name,antibiotic,DD,DD^2,DD^2_std,index_col
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Rifampin,9,81,0,27
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Rifampin,9,81,0,56
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Rifampin,9,81,0,85
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Ciprofloxacin,34,1156,39.83716857,114
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Ciprofloxacin,35,1225,39.83716857,143
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Ciprofloxacin,34,1156,39.83716857,172
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Imipenem,30,900,35.21836642,201
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Imipenem,30,900,35.21836642,230
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Imipenem,31,961,35.21836642,259
0,-,NaN,Escherichia coli DH5_alpha,no reported infections,coli dh5 alpha,Laboratory ,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_Yes_3_10_5_2021_11_02_06 -> Antibiotic Resistance Data 9-27-2021.xlsx,-,-,Escherichia coli DH5α,0,-,NaN,escherichia coli dh5_alpha,NaN,escherichia,escherichia coli dh5_alpha,Doxycycline,24,576,27.13546265,288
