Foe,Strain ID,Documented immune evasion,Common/ rare/ emerging,rod_shape,IVV,Healthy/ opportunistic/ nosocomial,Documented adhesins/ adherence,Common Name,Reservoir,coccus_shape,Threat Level,Name,Genus,Strain Name,Species,Location,Documented cytotoxins,antibiotic,DD,DD^2,DD^2_std,index_col
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,8,64,16.16580754,0
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,8,64,16.16580754,13
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Rifampin,6,36,16.16580754,26
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,21,441,23.67136104,39
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,20,400,23.67136104,52
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Ciprofloxacin,20,400,23.67136104,65
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,22,484,25.98076211,78
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,22,484,25.98076211,91
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Imipenem,23,529,25.98076211,104
0,nist0013,NaN,NaN,NaN,1,NaN,NaN,NIST0013,NaN,NaN,NaN,nist0013,Corynebacterium,Corynebacterium aurimucosum,aurimucosum,/labkey/_webdav/Cell_Phenotype/AMR/@files/Shaorong_Chen_No_3_10_7_2021_13_30_20 -> Antibiotic Resistance Data1 10-7-2021.xlsx,NaN,Doxycycline,21,441,24.82606158,117
