,Unnamed: 0,Unnamed: 0.1,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,PE-Texas Red-A,file_name,Organism,Time,Name,Genus,Species,Foe,IVV,Common Name,Documented cytotoxins,Documented adhesins/ adherence,Documented immune evasion,Common/ rare/ emerging,Healthy/ opportunistic/ nosocomial,Reservoir,Threat Level,Gram stain,index_col,scaled_FSC-A,scaled_FSC-H,scaled_FSC-W,scaled_SSC-A,scaled_SSC-H,scaled_SSC-W,scaled_FITC-A,scaled_PE-Texas Red-A,org_index,Foe_prob_predictions
0,0,13856,4.8875452606160525,4.7858350313586655,4.918190160065537,3.751703951789992,3.7238659644435037,4.84431793631108,2.092860957251689,1.722633916258426,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,13856,0.43482875850033054,0.4614169405081494,0.25674483748392074,0.5721287578702321,0.42819172854204623,0.6956388355933134,0.4032990093756594,0.5377453300449286,0,0.1
1,1,19270,4.885905999419782,4.619865187391643,5.082520725622176,4.353512880297232,4.2430876795053765,4.926905130727373,2.8286083341561605,1.977997833660766,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-25-moi1\MD-Jurkat NFkB-25-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,19270,0.4330839835647673,0.31801992684965485,0.5008539685957061,0.9217128782103416,0.6603978174298688,0.7467283304784407,0.5353085665244431,0.6125329358848205,0,0.1
2,2,25494,5.168558063967104,4.932488985011443,5.052549004656441,4.413179029888464,4.261857385629898,4.967801567232284,2.797959643737196,2.2982415811642842,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-30-moi1\MD-Jurkat NFkB-30-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,25494,0.7339294124867992,0.5881251333482789,0.4563316927909114,0.9563722816038251,0.6687919964911768,0.7720273892296771,0.5298095050579652,0.7063216880492382,0,0.1
3,3,14256,4.995936717564481,4.839584879474875,4.972831810196697,3.9032202504973137,3.859798547480567,4.859901667806147,2.765743023237383,2.079615305873109,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-2\MD-Jurkat NFkB-IV&V-Isolates_Rep-2/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,14256,0.5501970096021179,0.5078565076019972,0.3379137039747606,0.6601428924098651,0.4889834337882222,0.7052791312364284,0.5240291218197617,0.6422933168171395,0,0.1
4,4,15078,4.962972945572603,4.849683473005162,4.929769373292507,3.7475904460050153,3.723209310405112,4.840861099218111,4.196932967321973,1.7498135782193125,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-2\MD-Jurkat NFkB-IV&V-Isolates_Rep-2/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,15078,0.5151114702848405,0.5165816357323934,0.27394548223445625,0.5697392680616944,0.4278980600347704,0.6935003919492573,0.7808166505898847,0.5457053498718084,0,0.1
5,5,15713,4.835206376371431,4.700236296335289,4.9514500324585775,3.702551148636866,3.6755950563867454,4.843436014001093,2.6275706454342687,1.3916406927345828,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-2\MD-Jurkat NFkB-IV&V-Isolates_Rep-2/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,15713,0.3791209960076305,0.3874601138828488,0.3061515837167468,0.5435764406170502,0.4066040359595287,0.6950932671711931,0.4992379027457292,0.4408084135518489,0,0.1
6,6,16059,5.036034852023539,4.989827880838908,4.862686895085445,4.30934903742968,4.2169835593820935,4.908845440932881,2.3336487380727493,2.8286083341561605,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,16059,0.5928761263445637,0.6376656175206179,0.17429606270934886,0.8960585925586027,0.6487235452223531,0.7355563753599283,0.4465017299164541,0.8616484862783145,0,0.1
7,7,23660,5.078677075784583,4.921441953478144,4.9737150462105415,4.141829015247367,4.055263625784184,4.903045325311844,3.5796761592850928,2.0042353807969566,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,23660,0.6382630868754422,0.5785805601065199,0.3392257299826822,0.7987480728572405,0.5763992333019741,0.7319683496442169,0.6700669552000766,0.6202170415853743,0,0.1
8,8,12654,5.1598192867984025,4.97261008782717,5.003689124159883,4.0260067307919165,3.936714758211204,4.905771897411403,3.1268454644011836,2.572406874653139,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,12654,0.7246281495726858,0.6227895409957531,0.38375150703034056,0.7314681946281589,0.5233818650320017,0.7336550420221202,0.5888189869823627,0.7866155921880809,0,0.1
9,9,29002,5.090414303360908,4.9378537636113355,4.9690404896468605,4.0246498311794445,3.9717859378791145,4.86934385520046,2.6020599913279625,2.0156949898048366,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-33-moi1\MD-Jurkat NFkB-33-moi1/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,29002,0.6507558003824538,0.5927602719480136,0.3322817878303024,0.7306799867187284,0.5390663813515804,0.711120189138875,0.4946607200647414,0.6235731802688607,0,0.1
10,10,23431,4.89608805939518,4.804139432335352,4.90842855022295,3.8229417841715114,3.7876021461823375,4.851819586794196,2.6541765418779604,1.6084190529499065,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,23431,0.44392142855394295,0.47723184021598897,0.2422441991586357,0.6135100232326494,0.4566957934778789,0.7002794525399962,0.5040115964309927,0.5042955918631772,0,0.1
11,11,18453,5.055006951919803,4.90268807868492,4.968798813542196,4.150529246252791,4.080987046910887,4.8860221606276975,2.5519376879273423,1.9690429801153644,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-25-moi1\MD-Jurkat NFkB-25-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,18453,0.6130693966112588,0.5623773175439268,0.33192278374776585,0.8038019403868084,0.5879032494849923,0.7214376022177396,0.4856676563000684,0.6099103568449937,0,0.1
12,12,26741,4.837300239847535,4.7829883113219545,4.870791860691422,3.619510720838498,3.6024940688072813,4.833496577134566,2.8294324414692658,1.3972445650805594,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-31-moi1\MD-Jurkat NFkB-31-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,26741,0.3813496344454253,0.4589573903740449,0.1863357955798844,0.4953391787064216,0.3739118470019805,0.6889446043846372,0.5354564298330478,0.44244960154916346,0,0.1
13,13,24619,5.2968837904444905,5.023058939361545,5.090304823725607,4.416973172603036,4.26578446784052,4.967668613067991,2.7469454286030923,2.2127201462967543,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-30-moi1\MD-Jurkat NFkB-30-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,24619,0.8705150351166946,0.6663770655702033,0.5124170604531502,0.9585762569529592,0.6705482643328655,0.7719451420829535,0.5206564123531301,0.6812753015949704,0,0.1
14,14,12062,4.900137202425583,4.828659896535322,4.887957206995497,3.7790189719148715,3.6642658001476742,4.9312331007375,2.021685363562979,2.401400540781544,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,12062,0.4482312013259877,0.4984173836602199,0.21183450762610168,0.5879957495848842,0.4015373713633277,0.7494056680882015,0.3905285138257061,0.7365335194198919,0,0.1
15,15,16416,5.096209582927229,4.921629259268068,4.991060310030009,4.065572238849873,4.0062520513693665,4.875800111382197,2.1693804863386146,1.6479694494199109,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,16416,0.6569241026364816,0.5787423912577356,0.3649917052017928,0.754451358677517,0.5544803002624663,0.7151141117984974,0.41702832661834943,0.5158785887567825,0,0.1
16,16,17190,5.1547723512458745,4.996673626789822,4.974578682560315,3.8917882613843138,3.8386602259889413,4.869607988031029,2.256717723961513,1.8414845978802368,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-Isolates_Rep-3\MD-Jurkat NFkB-IV&V-Isolates_Rep-3/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,17190,0.719256359724012,0.6435803035994994,0.3405086411576397,0.6535021769460401,0.4795299636870369,0.7112835850865356,0.4326985830448211,0.5725527453655906,0,0.1
17,17,13900,5.007320252318065,4.8881570201424465,4.9356431583928435,3.872524556395712,3.832508912706236,4.856495617195381,2.3091189527700315,2.4930396053531467,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\IV&V\Jurkat-NFkB-IV&V-November-Isolates-1\MD-Jurkat NFkB-IV&V-Isolates/20190524_E coli_005.fcs,e coli,005.fcs,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,13900,0.5623132642669324,0.5498225645208299,0.2826708497418524,0.6423121047421669,0.4767789762813379,0.7031721047599011,0.4421005370662797,0.7633715563298574,0,0.1
18,18,25478,4.692346535906961,4.607969437822521,4.900857055277889,3.8678680262622738,3.776119799052988,4.908228169679723,1.9201233501854635,2.0116550158858435,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-30-moi1\MD-Jurkat NFkB-30-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,25478,0.22706574727240805,0.3077420659884931,0.2309969242162362,0.6396071781227279,0.451560663646414,0.7351745234668621,0.3723060140520569,0.6223900061535407,0,0.1
19,19,18264,4.951292315387165,4.833988101402048,4.933784205726906,4.023262750850212,3.979730430662285,4.860012257171326,2.385606273598312,1.7649229903430224,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-25-moi1\MD-Jurkat NFkB-25-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,18264,0.5026789971527386,0.5030209227597764,0.2799094199462262,0.7298742471662449,0.5426193136420912,0.7053475432323388,0.4558240754260355,0.5501303946074753,0,0.1
20,20,21332,5.238917073789217,5.053773526784,5.001623496329524,4.128148134771424,4.070887144018541,4.873740903130293,2.633579555983648,2.1585434030806177,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-26-moi1\MD-Jurkat NFkB-26-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,21332,0.8088171955368315,0.692914296713278,0.3806830662131295,0.7908010013863596,0.5833863757088271,0.7138402592333799,0.5003160358733083,0.6654087337628608,0,0.1
21,21,22885,5.208207273877721,5.0063676195399935,5.018319602527537,4.386160655970457,4.25073706790379,4.951903548232941,2.1879717119641704,2.132355777388982,G:\Shared drives\STTR_Netrias\Project Stage\Data\Mayukh\MD-Jurkat NFkB-27-moi1\MD-Jurkat NFkB-27-moi1/20190524_E coli-5h_005.fcs,e coli,5h,e coli,escherichia coli,dh5 alpha,0,0,Escherichia coli DH5α,-,-,-,no reported infections,0,Laboratory ,Low,-,22885,0.7761307089149128,0.6519558589267547,0.4054847332866993,0.9406776083749402,0.6638187732775414,0.7621926713161895,0.4203640088629921,0.6577392483945621,0,0.1
