Time,variable,DAPI,Hoechst,Name,Genus,Species,Foe,IVV,Common Name,Documented cytotoxins,Documented adhesins/ adherence,Documented immune evasion,Common/ rare/ emerging,Healthy/ opportunistic/ nosocomial,Reservoir,Threat Level,Gram stain,rod_shape,coccus_shape
0,11,1875,0.17230288549898914,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
1,11,2130,0.1957360779268517,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
2,11,2078,0.19095754456901304,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
3,11,2057,0.18902775225142437,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
4,11,2213,0.20336335232494027,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
5,11,2307,0.21200147031795627,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
6,11,2325,0.21365557801874654,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
7,11,2379,0.21861790112111745,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
8,11,2385,0.2191692703547142,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
9,11,2310,0.21227715493475463,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
10,11,2380,0.21870979599338358,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
11,11,2375,0.21825032163205293,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
12,11,2441,0.22431538320161734,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
13,11,2507,0.23038044477118177,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
14,11,2519,0.2314831832383753,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
15,11,2602,0.23911045763646388,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
16,11,2632,0.2418673038044477,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
17,11,2689,0.24710531152361698,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
18,11,2783,0.255743429516633,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
0,11,1874,0.16260303687635574,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
1,11,2200,0.19088937093275488,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
2,11,2110,0.18308026030368763,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
3,11,2131,0.18490238611713666,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
4,11,2272,0.19713665943600867,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
5,11,2379,0.20642082429501085,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
6,11,2393,0.20763557483731018,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
7,11,2438,0.2115401301518438,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
8,11,2432,0.21101952277657265,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
9,11,2442,0.2118872017353579,11,Acinetobacter,baylyi,0,1,NIST0011,-,-,-,rare,opportunistic,skin commensal,Low,+,1.0,0.0
