Location,Segment Index,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,E. coli with JES101 plasmid,E. coli with JES101 plasmid,E. coli with JES101 plasmid,NIST0013,NIST0013,NIST0013,NIST0015,NIST0015,NIST0015,NIST0016,NIST0016,NIST0016,NIST0041,NIST0041,NIST0041,NIST0046,NIST0046,NIST0046,NIST0053,NIST0053,NIST0053,NIST0055,NIST0055,NIST0055,NIST0057,NIST0057,NIST0057,NIST0067,NIST0067,NIST0067,NIST0068,NIST0068,NIST0068,NIST0070,NIST0070,NIST0070,NIST0072,NIST0072,NIST0072,NIST0075,NIST0075,NIST0075,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas fluorescens,Pseudomonas fluorescens,Pseudomonas fluorescens,Salmonella enterica,Salmonella enterica,Salmonella enterica,Dead,Dead,Dead,Live,Live,Live
Well,0,B5,B6,B7,C4,C5,C6,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,B11,C2,C3,C7,C8,C9,B8,B9,B10,G9,G10,G11,B2,B3,B4
0,0,897.0,798.0,887.0,868.0,755.0,819.0,779.0,706.0,865.0,870.0,962.0,953.0,782.0,900.0,823.0,807.0,811.0,745.0,894.0,846.0,800.0,872.0,861.0,828.0,823.0,9.0,694.0,726.0,766.0,756.0,808.0,851.0,852.0,825.0,847.0,842.0,826.0,825.0,804.0,875.0,900.0,766.0,822.0,930.0,929.0,720.0,822.0,806.0,819.0,805.0,728.0,1019.0,736.0,864.0,31679.0,31302.0,30626.0,954.0,924.0,980.0
0,0,1204.0,1086.0,1142.0,1106.0,978.0,1038.0,1032.0,951.0,1080.0,1088.0,1232.0,1205.0,1043.0,1158.0,1081.0,1266.0,1114.0,1037.0,1062.0,1069.0,998.0,1115.0,1115.0,1057.0,1110.0,1085.0,937.0,927.0,1040.0,1012.0,1223.0,1130.0,1095.0,1053.0,1125.0,1079.0,1111.0,1088.0,1020.0,1170.0,1132.0,1034.0,1023.0,1196.0,1183.0,1026.0,1389.0,1294.0,1362.0,1168.0,1119.0,1968.0,1424.0,2271.0,34049.0,33552.0,32608.0,1126.0,1125.0,1176.0
0,0,1707.0,1559.0,1598.0,1321.0,1167.0,1247.0,1685.0,1492.0,1671.0,1282.0,1362.0,1366.0,1399.0,1526.0,1363.0,2145.0,1801.0,1523.0,1195.0,1209.0,1197.0,5241.0,5981.0,5229.0,1373.0,1304.0,1151.0,1305.0,1371.0,1433.0,1690.0,1515.0,1393.0,1226.0,1302.0,1200.0,1382.0,1261.0,1227.0,1374.0,1305.0,1237.0,1430.0,1727.0,1697.0,7455.0,7166.0,7386.0,2572.0,2055.0,2109.0,4067.0,3089.0,4191.0,34619.0,34148.0,32863.0,1277.0,1262.0,1368.0
0,0,2267.0,2020.0,2076.0,1419.0,1259.0,1329.0,2237.0,2022.0,2199.0,1313.0,1389.0,1419.0,1708.0,1841.0,1636.0,3144.0,2590.0,2062.0,1313.0,1305.0,1278.0,13631.0,14612.0,13357.0,1567.0,1443.0,1327.0,2161.0,2141.0,2390.0,2115.0,1882.0,1726.0,1503.0,1719.0,1427.0,1754.0,1548.0,1546.0,1767.0,1565.0,1497.0,2018.0,2535.0,2328.0,4985.0,4511.0,4669.0,3754.0,3089.0,3070.0,5254.0,4108.0,4974.0,35405.0,34665.0,32990.0,1367.0,1318.0,1426.0
0,0,2881.0,2516.0,2547.0,1533.0,1398.0,1439.0,2549.0,2296.0,2463.0,1151.0,1304.0,1283.0,2232.0,2342.0,2084.0,4440.0,3637.0,2753.0,1459.0,1473.0,1450.0,18261.0,18977.0,17621.0,1804.0,1563.0,1527.0,3088.0,3190.0,3678.0,2745.0,2517.0,2207.0,2309.0,2806.0,2161.0,2300.0,2032.0,2078.0,5412.0,3805.0,2686.0,2548.0,3222.0,2924.0,3497.0,3176.0,3362.0,5077.0,4362.0,4271.0,6562.0,5699.0,5837.0,35375.0,35020.0,33101.0,1429.0,1369.0,1475.0
0,0,3478.0,3166.0,3231.0,1648.0,1495.0,1528.0,2738.0,2475.0,2651.0,1123.0,1172.0,1168.0,4454.0,4747.0,4065.0,6282.0,5258.0,3723.0,1822.0,1878.0,1726.0,17304.0,17432.0,16421.0,2204.0,1906.0,1823.0,4529.0,4711.0,5224.0,4077.0,3514.0,3046.0,3520.0,4118.0,3286.0,3412.0,2832.0,2994.0,8592.0,7741.0,7664.0,3238.0,4115.0,3566.0,3071.0,2723.0,2888.0,6415.0,5665.0,5513.0,8757.0,8334.0,7020.0,35694.0,35142.0,33176.0,1428.0,1410.0,1520.0
0,0,4501.0,4119.0,4260.0,1820.0,1698.0,1754.0,2872.0,2683.0,2805.0,1737.0,1625.0,1735.0,8169.0,8839.0,7392.0,8414.0,7181.0,5123.0,2429.0,2590.0,2342.0,15337.0,15842.0,15131.0,3671.0,2843.0,3099.0,6084.0,6303.0,6306.0,4563.0,4035.0,3756.0,5407.0,6297.0,5301.0,5532.0,4350.0,4704.0,7533.0,6935.0,7127.0,4334.0,5388.0,4504.0,2361.0,2230.0,2334.0,7628.0,7000.0,6806.0,7221.0,7084.0,5315.0,35563.0,35243.0,33504.0,1500.0,1468.0,1564.0
0,0,5730.0,5132.0,5358.0,2147.0,1957.0,2047.0,3116.0,2905.0,3011.0,2272.0,2105.0,2235.0,8524.0,9306.0,7680.0,10007.0,8770.0,6525.0,3752.0,3824.0,3483.0,13791.0,14305.0,13737.0,5444.0,4682.0,5013.0,6471.0,6472.0,6053.0,3465.0,3163.0,3250.0,8445.0,10088.0,8326.0,8560.0,7257.0,7741.0,8552.0,7486.0,7706.0,5567.0,6685.0,5806.0,2078.0,2031.0,2105.0,8852.0,8480.0,7958.0,4517.0,4073.0,3481.0,35845.0,35447.0,33183.0,1547.0,1529.0,1613.0
0,0,6874.0,6339.0,6488.0,2597.0,2372.0,2523.0,3260.0,3109.0,3201.0,2391.0,2234.0,2373.0,5708.0,6363.0,5237.0,11179.0,9745.0,7574.0,4913.0,5132.0,4708.0,11545.0,11722.0,11228.0,5301.0,4724.0,5163.0,6078.0,5912.0,5780.0,3122.0,2917.0,3050.0,10835.0,11454.0,10429.0,8947.0,8253.0,8267.0,9183.0,7948.0,8252.0,6490.0,8104.0,7166.0,1789.0,1670.0,1720.0,10041.0,9744.0,9213.0,5362.0,4100.0,4466.0,35607.0,35168.0,33202.0,1599.0,1604.0,1650.0
