Location,Segment Index,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,E. coli with JES101 plasmid,E. coli with JES101 plasmid,E. coli with JES101 plasmid,NIST0013,NIST0013,NIST0013,NIST0015,NIST0015,NIST0015,NIST0016,NIST0016,NIST0016,NIST0041,NIST0041,NIST0041,NIST0046,NIST0046,NIST0046,NIST0053,NIST0053,NIST0053,NIST0055,NIST0055,NIST0055,NIST0057,NIST0057,NIST0057,NIST0067,NIST0067,NIST0067,NIST0068,NIST0068,NIST0068,NIST0070,NIST0070,NIST0070,NIST0072,NIST0072,NIST0072,NIST0075,NIST0075,NIST0075,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas aeruginosa PA-14,Pseudomonas fluorescens,Pseudomonas fluorescens,Pseudomonas fluorescens,Salmonella enterica,Salmonella enterica,Salmonella enterica,Dead,Dead,Dead,Live,Live,Live
Well,0,B5,B6,B7,C4,C5,C6,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,B11,C2,C3,C7,C8,C9,B8,B9,B10,G9,G10,G11,B2,B3,B4
0,0,2830.0,2783.0,3325.0,5942.0,5494.0,5086.0,3894.0,3640.0,9841.0,9059.0,9419.0,11081.0,10331.0,11635.0,11032.0,11914.0,12013.0,13328.0,18606.0,18035.0,16921.0,16855.0,16446.0,15250.0,14669.0,0.0,12625.0,13789.0,19296.0,17663.0,17240.0,18888.0,19179.0,19116.0,19181.0,19757.0,19452.0,21156.0,23623.0,22768.0,22558.0,23344.0,22351.0,22236.0,23851.0,3071.0,8510.0,7012.0,5190.0,4576.0,3757.0,3709.0,2575.0,3805.0,24560.0,24299.0,23427.0,3154.0,2535.0,3089.0
0,0,19747.0,17845.0,18012.0,18495.0,19289.0,19103.0,18565.0,18113.0,19833.0,20377.0,19259.0,20547.0,19283.0,18972.0,19416.0,17571.0,17935.0,18470.0,19509.0,19219.0,18713.0,19476.0,19082.0,18483.0,18679.0,17962.0,18466.0,18347.0,19185.0,18042.0,15590.0,18208.0,17491.0,18491.0,18500.0,18963.0,17627.0,19721.0,18866.0,10743.0,11186.0,13479.0,19535.0,18836.0,19450.0,13685.0,13116.0,13149.0,15690.0,16188.0,15648.0,14431.0,14412.0,14354.0,24742.0,24390.0,23954.0,19515.0,18379.0,17448.0
0,0,14225.0,13775.0,13455.0,15540.0,16695.0,16490.0,13383.0,13124.0,14042.0,17105.0,16520.0,17404.0,15279.0,14628.0,15123.0,13870.0,13649.0,13505.0,15852.0,16097.0,15374.0,14229.0,14266.0,14017.0,15199.0,14702.0,15326.0,13432.0,14154.0,13547.0,12963.0,14500.0,14250.0,15826.0,16100.0,16472.0,14306.0,15097.0,14886.0,11565.0,10862.0,10526.0,14309.0,13814.0,14153.0,9562.0,9681.0,9827.0,13447.0,13720.0,13182.0,13650.0,13204.0,14185.0,23775.0,23707.0,23801.0,16630.0,16187.0,15466.0
0,0,13214.0,12453.0,12273.0,13480.0,14537.0,14547.0,12894.0,12459.0,13517.0,15301.0,14931.0,15559.0,13461.0,13364.0,13371.0,13877.0,13378.0,12887.0,13132.0,13487.0,13282.0,16679.0,17046.0,16605.0,13835.0,13444.0,13477.0,13076.0,13584.0,13529.0,12702.0,13570.0,12940.0,13281.0,13118.0,13300.0,12871.0,13257.0,13348.0,12773.0,12153.0,12222.0,13795.0,14168.0,14433.0,7331.0,7217.0,7295.0,13450.0,13721.0,13210.0,13993.0,13415.0,13998.0,23137.0,23036.0,23229.0,14648.0,14629.0,13940.0
0,0,13352.0,12509.0,12557.0,12685.0,13329.0,13574.0,13359.0,12483.0,13718.0,14420.0,13911.0,14516.0,13194.0,13004.0,12968.0,14526.0,13876.0,13077.0,11457.0,11490.0,11634.0,19001.0,19392.0,18773.0,13444.0,12650.0,12756.0,14008.0,14479.0,14274.0,12624.0,13644.0,12841.0,13223.0,13528.0,13051.0,12843.0,13264.0,13809.0,15892.0,14844.0,14479.0,14214.0,14430.0,14901.0,5600.0,5406.0,5569.0,14201.0,14253.0,13777.0,14393.0,13877.0,14206.0,22562.0,22562.0,22875.0,13375.0,13480.0,12676.0
0,0,13661.0,12849.0,12548.0,12415.0,13104.0,13129.0,13088.0,12314.0,13900.0,13835.0,13246.0,13875.0,14019.0,13594.0,13479.0,15177.0,14215.0,13291.0,9854.0,10178.0,10112.0,20539.0,21202.0,20576.0,13817.0,12870.0,13157.0,15053.0,15628.0,15401.0,13686.0,14426.0,13680.0,14172.0,14492.0,13938.0,13677.0,13829.0,14331.0,17436.0,16394.0,16576.0,14352.0,14479.0,14920.0,4628.0,4241.0,4394.0,14814.0,14819.0,14346.0,15494.0,15279.0,15091.0,22204.0,22173.0,22314.0,12385.0,13042.0,12047.0
0,0,14061.0,12993.0,12660.0,12238.0,12817.0,12719.0,12947.0,12109.0,13846.0,13254.0,12688.0,13294.0,16387.0,16062.0,15580.0,15904.0,14931.0,13958.0,8145.0,8546.0,8517.0,21706.0,22248.0,21774.0,13622.0,13353.0,13076.0,14648.0,15235.0,12264.0,14305.0,14805.0,14386.0,14986.0,15213.0,14845.0,14480.0,14484.0,15111.0,16467.0,16241.0,17210.0,14331.0,14842.0,14885.0,3493.0,3285.0,3445.0,15121.0,15377.0,14632.0,11190.0,13534.0,11043.0,21904.0,21862.0,22034.0,12110.0,12697.0,11473.0
0,0,14582.0,13440.0,13388.0,12146.0,12684.0,12708.0,12845.0,11888.0,13590.0,13291.0,12785.0,13322.0,17424.0,17123.0,16650.0,16539.0,15598.0,14419.0,6449.0,6979.0,6707.0,22122.0,22642.0,22160.0,10844.0,11354.0,10872.0,11334.0,11860.0,10584.0,11168.0,11524.0,11415.0,16160.0,16427.0,16224.0,15421.0,15620.0,16282.0,8841.0,9514.0,11298.0,14927.0,15190.0,15252.0,3021.0,2925.0,3006.0,15480.0,15716.0,15134.0,9228.0,7936.0,9288.0,21629.0,21478.0,21842.0,11807.0,12019.0,11079.0
0,0,14892.0,13826.0,13865.0,12284.0,12580.0,12893.0,12569.0,11806.0,13211.0,13191.0,12843.0,13429.0,10114.0,9912.0,10105.0,16875.0,15843.0,14666.0,5624.0,6032.0,5824.0,21995.0,22322.0,21794.0,10210.0,9986.0,10103.0,10669.0,11514.0,9718.0,10858.0,11148.0,10956.0,17163.0,17241.0,16935.0,15879.0,16148.0,16396.0,5913.0,6147.0,7133.0,15333.0,15834.0,15755.0,2639.0,2567.0,2642.0,15721.0,15896.0,15315.0,8916.0,7861.0,9220.0,21585.0,21264.0,21555.0,11411.0,11818.0,10502.0
